,Unnamed: 0,Unnamed: 0.1,variable,data_type,var_type,include
0,0,type,type,object,none,y
1,1,status,status,object,flight_status,y
2,2,departure_iatacode,departure_iatacode,object,id,y
3,3,departure_icaocode,departure_icaocode,object,id,y
4,4,departure_terminal,departure_terminal,object,terminal,y
5,5,departure_scheduledtime,departure_scheduledtime,datetime64[ns],time,y
6,8,arrival_terminal,arrival_terminal,object,terminal,y
7,9,arrival_scheduledtime,arrival_scheduledtime,object,time,y
8,10,airline_name,airline_name,object,airline,y
9,13,flight_number,flight_number,object,id,y
10,14,flight_iatanumber,flight_iatanumber,object,id,y
11,16,codeshared_airline_name,codeshared_airline_name,object,name,y
12,19,codeshared_flight_number,codeshared_flight_number,object,id,y
13,22,departure_gate,departure_gate,object,gate,y
14,23,departure_delay,departure_delay,float64,time,y
15,24,departure_estimatedtime,departure_estimatedtime,object,time,y
16,25,departure_actualtime,departure_actualtime,object,time,y
17,26,departure_estimatedrunway,departure_estimatedrunway,object,runway,y
18,27,departure_actualrunway,departure_actualrunway,object,runway,y
