,covid_date,covid_cases_UK
0,2020-01-23,0
1,2020-01-24,0
2,2020-01-25,0
3,2020-01-26,0
4,2020-01-27,0
5,2020-01-28,0
6,2020-01-29,0
7,2020-01-30,0
8,2020-01-31,2
9,2020-02-01,0
10,2020-02-02,0
11,2020-02-03,6
12,2020-02-04,0
13,2020-02-05,1
14,2020-02-06,0
15,2020-02-07,0
16,2020-02-08,4
17,2020-02-09,1
18,2020-02-10,0
19,2020-02-11,1
20,2020-02-12,1
21,2020-02-13,1
22,2020-02-14,1
23,2020-02-15,0
24,2020-02-16,0
25,2020-02-17,1
26,2020-02-18,0
27,2020-02-19,1
28,2020-02-20,2
29,2020-02-21,1
30,2020-02-22,0
31,2020-02-23,5
32,2020-02-24,2
33,2020-02-25,4
34,2020-02-26,3
35,2020-02-27,7
36,2020-02-28,12
37,2020-02-29,5
38,2020-03-01,33
39,2020-03-02,40
40,2020-03-03,55
41,2020-03-04,57
42,2020-03-05,49
43,2020-03-06,79
44,2020-03-07,55
45,2020-03-08,54
46,2020-03-09,147
47,2020-03-10,259
48,2020-03-11,412
49,2020-03-12,489
50,2020-03-13,480
51,2020-03-14,364
52,2020-03-15,443
53,2020-03-16,615
54,2020-03-17,770
55,2020-03-18,1005
56,2020-03-19,1066
57,2020-03-20,1258
58,2020-03-21,1215
59,2020-03-22,1389
60,2020-03-23,2349
61,2020-03-24,2382
62,2020-03-25,2717
63,2020-03-26,3127
64,2020-03-27,3249
65,2020-03-28,2843
66,2020-03-29,2892
67,2020-03-30,4327
68,2020-03-31,4534
69,2020-04-01,4974
70,2020-04-02,4929
71,2020-04-03,4981
72,2020-04-04,4073
73,2020-04-05,3650
74,2020-04-06,5316
75,2020-04-07,5486
76,2020-04-08,5163
77,2020-04-09,4906
78,2020-04-10,4367
79,2020-04-11,3613
80,2020-04-12,3539
81,2020-04-13,4205
82,2020-04-14,4348
83,2020-04-15,5100
84,2020-04-16,5343
85,2020-04-17,4990
86,2020-04-18,4736
87,2020-04-19,3860
88,2020-04-20,4866
89,2020-04-21,4775
90,2020-04-22,5505
91,2020-04-23,5168
92,2020-04-24,4981
93,2020-04-25,3764
94,2020-04-26,3473
95,2020-04-27,4704
96,2020-04-28,4727
97,2020-04-29,5450
98,2020-04-30,4964
99,2020-05-01,4730
100,2020-05-02,3230
101,2020-05-03,2977
102,2020-05-04,3383
103,2020-05-05,3689
104,2020-05-06,3836
105,2020-05-07,3771
106,2020-05-08,3052
107,2020-05-09,2150
108,2020-05-10,2322
109,2020-05-11,3589
110,2020-05-12,3395
111,2020-05-13,3300
112,2020-05-14,2618
113,2020-05-15,2521
114,2020-05-16,2072
115,2020-05-17,1826
116,2020-05-18,2577
117,2020-05-19,3058
118,2020-05-20,2712
119,2020-05-21,2554
120,2020-05-22,2041
121,2020-05-23,1508
122,2020-05-24,1355
123,2020-05-25,1613
124,2020-05-26,1659
125,2020-05-27,1809
126,2020-05-28,1736
127,2020-05-29,1508
128,2020-05-30,1107
129,2020-05-31,1070
130,2020-06-01,1444
131,2020-06-02,1470
132,2020-06-03,1349
133,2020-06-04,1238
134,2020-06-05,1110
135,2020-06-06,794
136,2020-06-07,718
137,2020-06-08,1094
138,2020-06-09,1159
139,2020-06-10,1186
140,2020-06-11,1007
141,2020-06-12,1054
142,2020-06-13,888
143,2020-06-14,807
144,2020-06-15,1031
145,2020-06-16,1083
146,2020-06-17,999
147,2020-06-18,1020
148,2020-06-19,984
149,2020-06-20,666
